tipo,mese,anno,nome_iniziativa,citta,data_inizio,data_fine,settore,descrizione,azione,responsabile_iniziativa,ufficio
Iniziative promozionali in Italia e all'estero,01,2024,FIERA AGRICOLA VERONA,Verona,31/01/2024,3/2/2024,Macchine agricole,Fiera. Incoming di operatori esteri,Missione di 3 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,02,2024,MIDO,Milano,2/2/2024,5/2/2024,Occhialeria,Fiera. Incoming operatori esteri a contributo con IES - International Eyewear solutions SRL,Missione di 4 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,02,2024,MICAM,Milano,18/02/2024,21/02/2024,Calzature,Fiera. Incoming operatori esteri a contributo,Missione di 4 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,02,2024,PROMOZIONE DI POMODORO DI PACHINO,Catania,20/02/2024,22/02/2024,Agroalimentare,Mostra. Incoming operatori esteri,Missione di 3 operatori serbi. Incontri B2B e visite aziendali,,Belgrado
Iniziative promozionali in Italia e all'estero,03,2024,SIRHA BUDAPEST 2024,Budapest,5/3/2024,7/3/2024,Agroalimentare,Fiera. Incoming operatori esteri,Missione di 4 operatori serbi. Visita alla Fiera e B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,03,2024,EXPOCOMFORT,Milano,12/3/2024,15/03/2024,Climatizzazione,Fiera. Incoming operatori esteri,Missione di 6 operatori serbi. Visita alla Fiera e B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,03,2024,COSMOPROF,Bologna,22/03/2024,24/03/2024,Cosmetica,Fiera. Incoming operatori esteri,Missione di 1 operatore serbo. Visita alla Fiera e B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,04,2024,BOLOGNA CHILDREN'S BOOK FAIR,Bologna,8/4/2024,11/4/2024,Editoria,Fiera. Incoming operatori esteri,Missione di 1 operatore serbo. Visita alla Fiera e B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,04,2024,VINITALY,Verona,14/04/2024,17/04/2024,Vino,Fiera. Incoming operatori esteri,,,Belgrado
Iniziative promozionali in Italia e all'estero,04,2024,SALONE DEL MOBILE,Milano,17/04/2024,20/04/2024,Arredamento,"Fiera. Incoming operatori esteri, a contributo",Missione di 2 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani,,Belgrado
